rated,turns,increment_code,white_rating,black_rating,first_move,second_move,opening_ply
FALSE,13,15+2,1500,1191,d4,d5,5
TRUE,16,5+10,1322,1261,d4,Nc6,4
TRUE,61,5+10,1496,1500,e4,e5,3
TRUE,61,20+0,1439,1454,d4,d5,3
TRUE,95,30+3,1523,1469,e4,e5,5
FALSE,5,10+0,1250,1002,e4,c5,4
TRUE,33,10+0,1520,1423,d4,d5,10
FALSE,9,15+30,1413,2108,e4,Nc6,5
TRUE,66,15+0,1439,1392,e4,e5,6
TRUE,119,10+0,1381,1209,e4,d5,4
FALSE,39,20+60,1381,1272,e3,e6,1
FALSE,38,20+60,1381,1867,e4,e6,9
FALSE,60,5+40,1381,1936,e4,e6,3
FALSE,31,8+0,1381,1607,e4,e6,2
FALSE,31,15+15,1094,1141,e4,e5,8
FALSE,43,15+15,1141,1094,e4,e5,7
FALSE,52,15+15,1094,1141,e4,e5,8
FALSE,66,15+16,1141,1094,e4,e5,8
FALSE,101,15+15,1094,1300,e4,e5,5
FALSE,25,11+0,1500,1094,d4,d5,2
FALSE,14,15+15,1094,1676,e4,e5,6
FALSE,3,30+60,1094,1068,d4,e6,2
FALSE,17,15+5,1500,1094,e4,c5,3
TRUE,36,10+0,1307,1106,c4,Nc6,4
TRUE,13,10+0,1113,1423,e4,c5,3
TRUE,69,10+10,1078,1219,d4,d5,4
TRUE,43,10+10,1825,1079,e4,e5,8
TRUE,54,10+10,1328,1038,d4,d5,4
TRUE,53,10+10,1056,1156,d4,d5,4
TRUE,66,10+10,1077,1148,d4,d5,4
TRUE,64,10+10,1358,1036,e4,c5,3
TRUE,64,10+10,1200,1002,e4,c5,6
TRUE,54,10+10,1203,1019,e4,c5,3
FALSE,21,15+3,1019,1500,d4,d5,6
FALSE,11,18+0,1422,975,e4,c5,3
TRUE,19,10+0,976,1832,d4,g6,4
TRUE,28,10+0,1569,978,d4,d5,10
FALSE,22,15+0,978,1500,d4,Nf6,2
FALSE,37,15+0,1500,978,e4,c5,17
FALSE,34,30+30,2449,978,c4,e5,3
FALSE,32,20+25,1207,978,e4,c5,10
FALSE,71,5+5,1241,978,e4,c5,3
FALSE,30,30+0,1500,978,e4,c5,3
FALSE,66,40+40,2443,978,e4,c5,17
FALSE,41,20+0,1500,978,e4,c5,3
FALSE,49,15+0,1500,978,e4,c5,3
FALSE,3,15+0,978,1500,e4,d5,2
FALSE,7,10+0,1343,978,e4,c5,3
FALSE,35,40+40,2436,978,e4,c5,17
FALSE,41,40+40,2436,978,e4,d5,4
FALSE,5,10+0,978,1500,d4,e6,3
FALSE,7,10+0,1500,978,e4,e5,4
FALSE,53,10+0,978,1500,d4,f5,2
FALSE,36,10+0,1500,978,c4,e5,2
TRUE,8,16+0,1521,1162,Nf3,e5,2
TRUE,3,6+10,1407,1500,e4,c5,3
TRUE,28,10+0,1492,1458,e4,e5,5
TRUE,30,10+0,1414,1442,e4,e5,8
TRUE,44,10+0,1457,1294,e4,e5,5
TRUE,29,10+0,1525,1466,e4,e5,6
TRUE,37,8+10,1207,1579,e4,e6,3
TRUE,49,8+12,1567,1573,d4,g6,2
TRUE,32,8+12,1578,1605,d4,e6,2
TRUE,25,8+12,1939,1581,d4,Nf6,6
TRUE,40,5+10,1618,1568,e4,e6,2
TRUE,39,7+12,1755,1574,Nf3,g6,2
TRUE,57,15+10,1561,1596,d4,Nf6,2
TRUE,78,5+40,1500,1554,e4,e6,3
TRUE,61,15+5,1544,1461,d4,d5,3
TRUE,44,20+5,1563,1335,d4,d5,3
TRUE,62,20+5,1579,1470,d4,d6,2
TRUE,87,20+5,1617,1590,d4,Nf6,2
TRUE,54,20+5,1207,1588,e4,e6,7
TRUE,54,15+5,1595,1547,d4,d5,3
TRUE,37,15+5,1855,1599,e4,e6,5
TRUE,50,15+5,1589,1547,d4,e6,2
TRUE,131,30+0,1571,1728,d4,Nf6,5
TRUE,48,30+0,1720,1579,e4,e6,3
TRUE,47,15+5,1579,2105,d4,d5,5
TRUE,64,15+5,1768,1560,e4,e6,3
TRUE,61,15+5,1552,1436,d4,d5,3
TRUE,57,15+5,1536,1667,d4,Nf6,5
TRUE,51,15+5,1521,1549,c4,Nc6,2
TRUE,58,15+5,1251,1545,a4,e5,3
TRUE,71,15+5,1537,1408,d4,d5,3
TRUE,114,15+5,1522,1512,d4,c6,1
TRUE,39,15+5,1602,1532,e4,e6,11
TRUE,20,15+5,1543,1593,d4,Nf6,5
TRUE,48,30+0,1556,1539,d4,d5,3
TRUE,34,20+10,1409,1548,e4,e6,3
TRUE,51,20+10,1539,1418,d4,d5,5
TRUE,69,20+10,1603,1550,e4,e6,3
TRUE,28,20+10,1542,1399,d4,d5,4
TRUE,62,20+10,1546,1877,d4,d5,5
TRUE,62,20+10,1134,1535,d4,Nf6,4
TRUE,85,20+10,1513,1784,d4,e6,2
TRUE,38,20+10,1501,1445,d4,Nf6,5
FALSE,14,45+0,1500,1500,e4,e5,8
TRUE,113,15+0,1745,1714,d4,d5,4
TRUE,62,15+0,1734,1748,d4,d5,4
TRUE,101,10+0,1942,1739,e4,e6,6
TRUE,75,10+0,1724,1855,e4,e5,7
TRUE,135,10+0,1951,1729,e4,e6,11
TRUE,81,10+0,1726,1388,e4,e5,5
TRUE,46,10+0,1735,1806,d4,Nf6,6
TRUE,70,10+0,1597,1728,e4,e6,3
TRUE,39,10+0,1743,1738,e4,e6,10
TRUE,91,10+0,1721,1750,d4,d5,7
TRUE,137,10+0,1746,1487,d4,d5,5
TRUE,46,10+0,1744,1735,e4,e6,9
TRUE,18,10+0,1749,1631,d4,d5,9
TRUE,28,10+0,1769,1396,d4,d5,5
TRUE,40,5+8,1795,1760,d4,Nf6,5
TRUE,111,15+0,1729,1795,d4,d5,5
TRUE,54,10+0,1795,1784,e4,e5,6
TRUE,33,10+0,1770,1872,d4,d5,3
TRUE,90,10+0,1783,1721,d4,d5,5
TRUE,90,10+0,1884,1768,e4,e5,7
TRUE,40,10+0,1756,1756,e4,e5,5
TRUE,49,8+0,1724,1958,d4,Nf6,5
TRUE,50,10+0,2036,1706,Nf3,d5,6
TRUE,59,10+0,1706,925,d4,d5,5
TRUE,26,15+15,1244,1219,d4,d6,4
TRUE,23,15+15,1215,921,e4,e5,5
TRUE,118,15+15,1350,1201,e4,Nf6,5
TRUE,66,15+15,1210,1280,e4,c5,4
TRUE,120,15+15,1139,1212,e4,Nf6,8
TRUE,36,15+15,1220,1341,e4,e5,11
TRUE,26,15+15,1234,1359,e4,e5,6
TRUE,62,15+15,1275,1236,e4,e5,11
TRUE,37,15+15,1433,1282,e4,Nf6,3
TRUE,24,15+15,1132,1276,d4,Nf6,4
FALSE,47,30+2,1276,1308,e4,e5,6
TRUE,37,15+15,1228,1266,e4,Nf6,7
TRUE,24,15+15,1273,1409,e4,c6,5
TRUE,9,15+15,1338,1277,d4,d5,3
TRUE,47,15+15,1263,1336,e4,c5,8
TRUE,85,15+15,1316,1273,c4,e5,2
TRUE,39,15+15,1248,1253,e4,h5,2
TRUE,58,15+15,1335,1233,d4,Nf6,6
TRUE,95,15+15,1223,1189,e4,e5,11
TRUE,2,15+15,1443,1204,e4,Nf6,2
TRUE,97,15+15,1227,1216,d4,d5,4
TRUE,12,15+15,1215,1219,e4,e5,5
TRUE,30,15+15,1227,1227,e4,Nf6,8
TRUE,43,10+0,1550,1225,d4,Nf6,8
TRUE,11,15+15,1325,1234,e4,Nf6,2
TRUE,72,15+15,1212,1221,e4,Nf6,5
TRUE,156,15+15,1226,1478,e4,e5,3
TRUE,18,25+0,1228,1626,d4,d5,4
FALSE,77,10+2,1191,1228,d4,Nf6,7
TRUE,32,30+0,1422,1210,e4,Nf6,5
TRUE,35,15+15,1186,1223,e4,Nf6,5
TRUE,85,15+15,1212,1212,e4,g6,2
TRUE,50,15+15,1228,1343,e4,d5,6
TRUE,111,10+10,1865,1862,Nf3,Nf,5
TRUE,65,7+2,1852,1852,e4,c5,5
TRUE,73,15+0,1833,1863,d4,Nf6,4
TRUE,125,15+0,1851,1918,e4,c5,4
TRUE,76,15+0,1861,1844,e4,e5,6
TRUE,65,10+0,1853,1774,e4,e5,6
TRUE,41,10+0,1910,1862,e4,c5,11
TRUE,59,10+0,1851,1890,e4,e6,3
TRUE,70,15+5,1860,1840,e4,c5,5
TRUE,34,25+25,1828,1848,e4,c5,5
TRUE,69,8+0,1855,1858,Nh3,d5,1
TRUE,63,10+10,1847,1895,e4,e5,8
TRUE,107,10+10,1885,1856,e4,c5,4
TRUE,58,30+0,1847,1802,d4,h6,1
FALSE,34,20+5,1847,1856,e4,c6,6
TRUE,100,15+0,1840,1837,e4,c5,3
TRUE,80,5+5,1848,1806,e4,c5,4
TRUE,44,15+0,1860,1820,e4,e6,3
TRUE,40,10+0,1854,1849,d4,Nf6,3
TRUE,105,10+0,1895,1859,e4,c5,4
TRUE,50,15+0,1866,1965,e4,c5,6
FALSE,144,10+0,1866,1843,e4,c5,4
FALSE,81,10+0,1835,1866,e4,c6,11
TRUE,69,15+0,1877,1860,e4,e5,6
TRUE,77,7+8,1849,1874,e4,c5,11
TRUE,158,6+6,1835,1865,d4,Nf6,6
TRUE,107,15+5,1866,1835,e4,e5,7
TRUE,117,15+0,1856,1829,e4,e5,12
TRUE,44,10+0,1845,1846,e4,e5,8
TRUE,40,15+0,1834,1835,e4,c5,4
TRUE,59,15+5,1846,1845,e4,c6,2
FALSE,110,10+0,1845,1917,d4,d5,4
TRUE,30,15+0,1858,1790,e4,d5,4
TRUE,54,10+0,1871,1847,e4,c5,4
TRUE,69,10+0,1846,1869,e4,e5,5
TRUE,178,16+0,1843,1836,e4,c5,3
TRUE,136,15+0,1800,1826,e4,c5,2
FALSE,124,8+0,1283,1267,e4,c5,5
TRUE,96,10+4,1290,1270,g3,e5,1
TRUE,53,12+0,1331,1281,d4,d5,4
TRUE,39,10+0,1304,1292,e3,e6,1
TRUE,10,10+0,1305,1293,e4,e6,3
TRUE,51,10+0,1308,1317,e4,e5,8
TRUE,18,15+0,1296,1305,e4,e5,13
FALSE,106,30+0,968,1305,e4,e5,8
FALSE,38,15+15,1293,1466,e4,e5,5
TRUE,59,7+2,1500,1299,e4,e5,7
TRUE,111,7+2,1288,1232,e4,c6,3
